============================================================
METHANE SEGMENTATION ZCU104 OPTIMIZED BENCHMARK
============================================================
Batch: 1 ALWAYS
Profile: max-e2e
Dataset images: 342
Runners: 2
Pre workers: 1
Post workers: 1
Slots/runner: 1
Pin: no
DPU subgraphs: 6 | CPU fallback subgraphs: 6
Input  : [1,512,512,4] INT8 fix=5
Output : [1,512,512,1] FLOAT32
[VAL 99/342] ang20191021t183204_r3584_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 100/342] ang20191021t183204_r10496_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 101/342] ang20191021t184841_r10752_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 102/342] ang20191021t184841_r10240_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 103/342] ang20191021t184841_r3840_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 104/342] ang20191021t184841_r9216_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 105/342] ang20191021t190136_r3584_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 106/342] ang20191021t190136_r10496_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 107/342] ang20191021t190136_r3072_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 108/342] ang20191021t190136_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 109/342] ang20191021t191828_r10752_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 110/342] ang20191021t191828_r3584_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 111/342] ang20191021t191828_r4864_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 112/342] ang20191021t191828_r2304_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 113/342] ang20191021t193145_r10752_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 114/342] ang20191021t193145_r10240_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 115/342] ang20191021t193145_r1536_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 116/342] ang20191021t193145_r2048_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 117/342] ang20191021t194835_r2048_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 118/342] ang20191021t194835_r9984_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 119/342] ang20191021t194835_r5120_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 120/342] ang20191021t194835_r512_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 121/342] ang20191025t161146_r13312_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 122/342] ang20191025t161146_r12800_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 123/342] ang20191025t161146_r9216_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 124/342] ang20191025t161146_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 125/342] ang20191025t163632_r7936_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 126/342] ang20191025t163632_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 127/342] ang20191025t163632_r11520_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 128/342] ang20191025t163632_r7168_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 129/342] ang20191025t165545_r13312_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 130/342] ang20191025t165545_r8704_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 131/342] ang20191025t165545_r1792_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 132/342] ang20191025t165545_r3328_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 133/342] ang20191025t171141_r9216_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 134/342] ang20191025t171141_r9728_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 135/342] ang20191025t171141_r2816_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 136/342] ang20191025t171141_r12544_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 137/342] ang20191025t173025_r6912_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 138/342] ang20191025t173025_r5376_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 139/342] ang20191025t173025_r10496_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 140/342] ang20191025t173025_r1536_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 141/342] ang20191025t174619_r5632_c0_w512_h512 F1=0.0000 IoU=0.0000
