modelo,id,dificuldade,tp,fp,fn,tn,precision,recall,f1,iou,fpr,acuracia
"methane_mobilenet_v3.xmodel","ang20190924t174538_r22272_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t174538_r13312_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r768_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r18176_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r4864_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r20480_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r19712_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r2560_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t181121_r22784_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r13312_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r2304_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r4608_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r7168_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r10496_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r9984_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t183641_r7936_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r3072_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r1024_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r1536_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r4352_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r512_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r5120_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190924t193726_r3584_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t152524_r0_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t152524_r7680_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t152524_r512_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t152524_r13312_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t152524_r10240_c0_w512_h512",sem_pluma,0,2,0,262142,0,0,0,0,7.62939453125e-06,0.999992370605
"methane_mobilenet_v3.xmodel","ang20190926t152524_r5888_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t152524_r12800_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r13568_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r7936_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r11776_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r3840_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r11008_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r10240_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t154314_r5376_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r10240_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r7680_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r8448_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r5632_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r4096_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r4608_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t160016_r6400_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t161748_r8960_c256_w512_h512",sem_pluma,0,50,0,262094,0,0,0,0,0.000190734863281,0.999809265137
"methane_mobilenet_v3.xmodel","ang20190926t161748_r10752_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t161748_r5376_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t161748_r9984_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t161748_r13312_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t161748_r12544_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t161748_r7936_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r8960_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r2048_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r0_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r11520_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r12544_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r4352_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t163428_r8448_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r1024_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r4608_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r512_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r3584_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r7680_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r8192_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t165202_r6144_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t171159_r0_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t171159_r5120_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t171159_r7168_c256_w512_h512",sem_pluma,0,181,0,261963,0,0,0,0,0.000690460205078,0.999309539795
"methane_mobilenet_v3.xmodel","ang20190926t171159_r11264_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t171159_r11776_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t171159_r9728_c256_w512_h512",sem_pluma,0,15,0,262129,0,0,0,0,5.72204589844e-05,0.999942779541
"methane_mobilenet_v3.xmodel","ang20190926t171159_r8448_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r0_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r3840_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r2560_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r1792_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r9984_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r11264_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t172904_r7168_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t174644_r8192_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t174644_r3840_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_mobilenet_v3.xmodel","ang20190926t174644_r0_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
